block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,3,1,left_cong,1,cong,green,green,1,0.5439052999990963,0.5507534999997006
1,1,0,right_cong,1,cong,red,red,1,1.4200409999994008,1.4266957999989245
1,2,1,left_cong,1,cong,green,green,1,0.8354509999990114,0.8423767999975098
1,3,1,left_cong,1,cong,green,green,1,0.6280289999995148,0.6353432999985671
1,1,0,right_cong,1,cong,red,green,0,0.3726868000012473,0.37493539999923087
1,2,1,left_cong,1,cong,green,green,1,1.149052800003119,1.1561487999988458
1,1,0,right_cong,1,cong,red,green,0,0.34277749999819207,0.34609789999922214
1,2,1,left_cong,1,cong,green,green,1,0.320546099999774,0.3230303999989701
1,3,1,left_cong,1,cong,green,green,1,0.572248500000569,0.5791709999994055
1,4,0,right_cong,1,cong,red,green,0,0.269509099998686,0.27255459999832965
1,5,1,left_cong,1,cong,green,green,1,0.32479050000256393,0.3276743999995233
1,6,0,right_cong,1,cong,red,green,0,0.5476077999992413,0.554177999998501
1,7,1,left_cong,1,cong,green,green,1,0.23751160000028904,0.2400670999995782
1,8,0,right_cong,1,cong,red,,0,,
1,9,0,right_cong,1,cong,red,,0,,
1,1,0,right_cong,1,cong,red,green,0,0.3907,0.3948
1,2,1,left_cong,1,cong,green,green,1,0.377,0.3797
1,3,1,left_cong,1,cong,green,green,1,0.2946,0.2974
1,4,0,right_cong,1,cong,red,green,0,0.5414,0.5484
1,5,1,left_cong,1,cong,green,green,1,0.3137,0.3161
1,6,0,right_cong,1,cong,red,green,0,0.493,0.4966
1,7,1,left_cong,1,cong,green,green,1,0.3118,0.3154
1,1,0,right_cong,1,cong,red,green,0,0.3463,0.3487
1,1,0,right_cong,1,cong,red,green,0,0.5807,0.5863
1,2,1,left_cong,1,cong,green,green,1,1.7467,1.7533
1,3,1,left_cong,1,cong,green,,0,,
1,4,0,right_cong,1,cong,red,,0,,
1,5,1,left_cong,1,cong,green,red,0,0.4381,0.4405
1,6,0,right_cong,1,cong,red,red,1,0.4485,0.4514
1,7,1,left_cong,1,cong,green,,0,,
1,8,0,right_cong,1,cong,red,red,1,0.0919,0.0946
1,1,0,right_cong,1,cong,red,,0,,
1,1,0,right_cong,1,cong,red,green,0,0.431,0.4332
1,2,1,left_cong,1,cong,green,green,1,0.5576,0.562
1,1,0,right_cong,1,cong,red,green,0,0.4694,0.4709
1,2,1,left_cong,1,cong,green,red,0,0.4214,0.423
1,3,1,left_cong,1,cong,green,green,1,0.3235,0.3254
1,4,0,right_cong,1,cong,red,red,1,0.6737,0.6786
1,1,0,right_cong,1,cong,red,green,0,0.3142,0.3157
1,2,1,left_cong,1,cong,green,red,0,0.3801,0.3815
1,3,1,left_cong,1,cong,green,green,1,0.3539,0.355
